id  , designation                 , appmag   , absmag                , b-v; interpret as bprp, ra                   , dec                  , ly                , parallax           , parsec                , from earth X         , from earth Y        , from earth Z          , galactic l            , galactic b
2989, Gaia DR3 3124311910086822912, 5.2610693, 0.4210816870607177    , 1.1904311             ,  96.83501596960919   , 2.9083458645930316   , 302.9862324711654 , 10.764713542917818 ,    92.89610875506365  , -11.041399469628654  , 92.1170905255302    , 4.713401393470738     , 207.4333086231946     , -4.282262533157836
2990, Gaia DR3 826638615862173312 , 5.2612157, 1.1562567997885127    , 0.095196724           , 148.92914403316593   , 49.81993139786056    , 215.98179802232954, 15.101087359513507 ,    66.2203969947907   , -36.59511803151665   , 22.050206150790245  , 50.59374193627807     , 166.60803296956104    , 49.36707763833685
2991, Gaia DR3 2569476764791877632, 5.2615104, -2.0307597592331135   , 2.4418411             ,  31.55103523570328   , 8.248055454978026    , 937.3016986861297 , 3.479733371412767  ,   287.37834002321887  , 242.36332374621958   , 148.81754771343108  , 41.22701917125002     , 152.33055442580567    , -50.485436586924536
2992, Gaia DR3 6649357561810851328, 5.261704 , -2.571672837578319    , 1.7023087E-4          , 274.28135312919255   , -56.02340742         , 1202.5433465108827, 2.712218241        ,   368.701893115835    , 15.382539713955858   , -205.47560071281524 , -305.7519271743956    , 338.26546028127393    , -17.446476269694703
2993, Gaia DR3 283924349317110400 , 5.261821 , -1.3527664586820336   , -0.13718748           ,  76.53516570207518   , 58.97234148087393    , 686.0296149365596 , 4.754255398        ,   210.33787970681504  , 25.245212649790336   , 105.43892574445583  , 180.2424362232174     , 150.86348846291037    , 10.568033981780689
2994, Gaia DR3 5272144584309859840, 5.2618637, 1.6892040979734708    , 0.5795684             , 132.64611311749735   , -66.7925433          , 169.02747064619217, 19.29603506182192  ,    51.82411810489219  , -13.835181382928095  , 15.02136448856918   , -47.63072099341819    , 282.1836588349232     , -14.143190264828476
2995, Gaia DR3 5615968261236220160, 5.2619863, -1.839029742319969    , 2.2349591             , 115.34805788901814   , -22.33665515         , 858.279186159402  , 3.8001154549660185 ,   263.1498994834993   , -104.20554465415563  , 219.97080720727726  , -100.00958973061252   , 238.20188268190827    , 0.09912023405910521
2996, Gaia DR3 5771483873053059968, 5.262153 , -3.1536534363970414   , 1.4182177             , 226.19520878642874   , -83.03838918         , 1572.4855364345597, 2.0741430839454544 ,   482.12681552219175  , -40.44949431676524   , -42.17328263618091  , -478.57237580827444   , 306.9600160117001     , -21.109713044519605
2997, Gaia DR3 5098203597139547136, 5.2626553, -0.21802682990739086  , 1.0501084             ,  50.34991856175339   , -23.63526167         , 406.96943969335234, 8.014262698588755  ,   124.77754194108107  , 72.94135735591556    , 88.0142029505663    , -50.024928174974875   , 215.57876462909115    , -56.31170425929936
2998, Gaia DR3 2237040042612803328, 5.262661 , -1.0828321569594337   , 1.6721468             , 303.3654263446739    , 60.64081835182542    , 606.0716974558269 , 5.381475514681522  ,   185.82264237230862  , 50.106014654589515   , -76.08962781053607  , 161.95619856404096    ,  94.58170628261426    , 14.166452442733178
