# |dist(asec)|typed ident|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |      coord2 (FK5,J2000/2000)      |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |    spec. type    |#bib|#not
131|      0.00|HIP61418   |* 24 Com A                         |V* |12 35 07.7605456776 +18 22 37.410763584|188.7823400250281 +18.3770568912872|     ~   |6.17     |5.02     |     ~   |     ~   |K0II-III          | 104|   1
132|      0.00|HIP73776   |* eta Cir                          |PM*|15 04 48.1875657792 -64 01 52.864144968|226.2007994864003 -64.0313489111557|     ~   |6.106    |5.168    |     ~   |     ~   |G8III             |  31|   0
133|      0.00|HIP72131   |HD 129422                          |PM*|14 45 17.3365585320 -62 52 32.337803676|221.3222533839638 -62.8756476383360|     ~   |5.644    |5.360    |     ~   |     ~   |A9III/IV          |  56|   0
134|      0.00|HIP71908   |* alf Cir                          |a2*|14 42 30.4206520931 -64 58 30.478845491|220.6267715907163 -64.9751313318414|3.55     |3.43     |3.19     |2.96     |2.86     |A7VpSrCrEu        | 378|   0
135|      0.00|HIP73036   |HD 131342                          |PM*|14 55 34.5596629392 -60 06 50.995267884|223.8940149376490 -60.1141633412115|     ~   |6.347    |5.180    |     ~   |     ~   |K2III             |  33|   0
136|      0.00|HIP70035   |HD 125158                          |PM*|14 19 51.5027170776 -61 16 22.705691232|214.9646119235970 -61.2729727068442|     ~   |5.52     |5.23     |     ~   |     ~   |A5/7mA7-F2        |  54|   0
137|      0.00|HIP71683   |* alf Cen A                        |SB*|14 39 36.49400 -60 50 02.3737          |219.90207520 -60.83399108          |0.96     |0.72     |0.01     |     ~   |     ~   |G2V               |1312|   1
138|      0.09|HIP71683   |* alf Cen                          |** |14 39 36.50 -60 50 02.3                |219.90210 -60.83397                |     ~   |0.4      |-0.1     |     ~   |     ~   |G2V+K1V           | 983|   0
139|      0.00|HIP85927   |* lam Sco                          |bC*|17 33 36.52012 -37 06 13.7648          |263.40217593 -37.10381835          |0.52     |1.49     |1.63     |     ~   |     ~   |B2IV+DA7.9        | 400|   0
140|      0.00|HIP86670   |* kap Sco                          |bC*|17 42 29.27520 -39 01 47.9391          |265.62198875 -39.02997776          |1.32     |2.211    |2.386    |     ~   |     ~   |B1.5III           | 246|   0
141|      0.00|HIP85696   |* ups Sco                          |*  |17 30 45.8371228 -37 17 44.928511      |262.6909968181 -37.2958083140      |1.64     |2.48     |2.65     |     ~   |     ~   |B2IV              | 187|   0
142|      0.00|HIP87073   |* iot01 Sco                        |s*y|17 47 35.0794702956 -40 07 37.190504381|266.8961732004524 -40.1269919795271|     ~   |3.492    |2.992    |     ~   |     ~   |F2Ia              | 118|   0
143|      0.00|HIP85889   |HD 158799                          |*  |17 33 07.3890992688 -41 10 23.035778040|263.2807970360175 -41.1730602998490|5.72     |5.870    |5.838    |     ~   |     ~   |B9III             |  31|   0
144|      0.00|HIP84143   |* eta Sco                          |PM*|17 12 09.1940948534 -43 14 21.082311424|258.0383184923853 -43.2391846471021|3.83     |3.74     |3.33     |2.97     |2.77     |F5IV              | 155|   0
145|      0.00|HIP89642   |* eta Sgr                          |LP?|18 17 37.6371989461 -36 45 42.084592381|274.4068295888830 -36.7616844588857|6.37     |4.67     |3.11     |1.55     |0.23     |M2III             | 145|   0
146|      0.00|HIP91262   |* alf Lyr                          |dS*|18 36 56.33635 +38 47 01.2802          |279.23473986 +38.78369482          |0.03     |0.03     |0.03     |0.07     |0.10     |A0V               |2734|   1
147|      0.00|HIP91971   |* zet01 Lyr                        |SB*|18 44 46.3570814856 +37 36 18.437952174|281.1931597838282 +37.6051275666972|4.71     |4.55     |4.36     |4.21     |4.13     |kA5hF0VmF3        | 200|   0
